t_s,dx_m,dy_m
0.690000,0.005585,-0.000462
0.700000,0.002445,0.000286
0.710000,0.003409,0.000947
0.720000,0.004061,-0.001710
0.730000,0.002717,-0.001679
0.740000,0.003402,0.000569
0.750000,0.002536,0.000314
0.760000,0.004194,0.000235
0.770000,0.004147,-0.001642
0.780000,0.002585,-0.001243
0.790000,0.003665,0.000731
0.800000,0.003081,0.001032
0.810000,0.004653,0.000780
0.820000,0.003091,0.001580
0.830000,0.003233,-0.000646
0.840000,0.003438,0.000007
0.850000,0.002790,0.000504
0.860000,0.005522,0.001120
0.870000,0.003287,-0.000007
0.880000,0.005037,0.000817
0.890000,0.003550,-0.000513
0.900000,0.005145,0.000758
0.910000,0.005605,-0.001993
0.920000,0.003918,0.000256
0.930000,0.005561,0.000150
0.940000,0.004793,0.000439
0.950000,0.002843,-0.000539
0.960000,0.003959,0.000114
0.970000,0.005424,-0.000027
0.980000,0.005846,0.001174
0.990000,0.006443,-0.000744
1.000000,0.004737,0.000950
1.010000,0.005785,0.000352
1.020000,0.004314,0.000620
1.030000,0.004446,0.000024
1.040000,0.005338,0.000823
1.050000,0.005058,-0.000349
1.060000,0.003597,0.000463
1.070000,0.005074,-0.000566
1.080000,0.004911,-0.000852
1.090000,0.005220,0.000688
1.100000,0.003019,-0.001806
1.110000,0.005467,-0.000679
1.120000,0.006263,-0.000362
1.130000,0.006370,0.000129
1.140000,0.005191,0.001147
1.150000,0.004493,-0.000536
1.160000,0.007643,-0.001317
1.170000,0.006087,0.001238
1.180000,0.006006,-0.000713
1.190000,0.007151,0.000221
1.200000,0.004618,0.000116
1.210000,0.005380,-0.000784
1.220000,0.006349,0.001904
1.230000,0.006250,-0.001305
1.240000,0.007206,0.002238
1.250000,0.006511,-0.001540
1.260000,0.006738,-0.000158
1.270000,0.005612,-0.000902
1.280000,0.007209,0.000317
1.290000,0.006484,0.000360
1.300000,0.006740,-0.000175
1.310000,0.006454,-0.001520
1.320000,0.006209,-0.000197
1.330000,0.006122,0.000157
1.340000,0.007304,0.000953
1.350000,0.006521,-0.000024
1.360000,0.005714,-0.000247
1.370000,0.004225,-0.001501
1.380000,0.006604,0.000194
1.390000,0.007344,-0.000798
1.400000,0.005667,0.000440
1.410000,0.007424,-0.001561
1.420000,0.006021,-0.001572
1.430000,0.006312,0.000118
1.440000,0.006119,-0.000921
1.450000,0.007778,0.000207
1.460000,0.007593,-0.000349
1.470000,0.007897,0.000569
1.480000,0.008444,-0.001406
1.490000,0.008358,-0.000072
1.500000,0.007375,-0.001265
1.510000,0.007070,-0.000100
1.520000,0.010014,-0.000958
1.530000,0.006560,0.000478
1.540000,0.006645,-0.001120
1.550000,0.009233,-0.000413
1.560000,0.007151,0.000414
1.570000,0.008490,-0.000029
1.580000,0.008991,0.000751
1.590000,0.008871,-0.000113
1.600000,0.006865,0.001477
1.610000,0.007968,-0.001672
1.620000,0.009146,0.000815
1.630000,0.007579,-0.000443
1.640000,0.009192,-0.000613
1.650000,0.009845,0.001011
1.660000,0.008744,0.001900
1.670000,0.007968,-0.001401
1.680000,0.008624,-0.000216
1.690000,0.006037,-0.000461
1.700000,0.008314,-0.000465
1.710000,0.009017,0.001795
1.720000,0.007519,0.000003
1.730000,0.007977,0.000025
1.740000,0.008423,-0.000561
1.750000,0.007342,0.001157
1.760000,0.008394,-0.000975
1.770000,0.010208,0.001310
1.780000,0.010094,0.000641
1.790000,0.008144,-0.000133
1.800000,0.010862,0.000443
1.810000,0.008519,0.001261
1.820000,0.010139,0.000394
1.830000,0.009610,0.000804
1.840000,0.008830,0.001155
1.850000,0.008867,0.000619
1.860000,0.008537,-0.002035
1.870000,0.009635,-0.000661
1.880000,0.008287,-0.000765
1.890000,0.009450,-0.000513
1.900000,0.008670,0.000092
1.910000,0.009373,-0.001352
1.920000,0.010818,0.001811
1.930000,0.009981,-0.002079
1.940000,0.011104,0.001122
1.950000,0.010949,0.000575
1.960000,0.009716,-0.000881
1.970000,0.010094,-0.000253
1.980000,0.009678,-0.002817
1.990000,0.010649,-0.000243
2.000000,0.008928,0.000042
2.010000,0.011007,0.002127
2.020000,0.011300,-0.002748
2.030000,0.009730,-0.000889
2.040000,0.011505,0.000493
2.050000,0.008974,0.000971
2.060000,0.009949,0.000985
2.070000,0.010728,-0.001175
2.080000,0.009177,-0.000002
2.090000,0.010825,0.000886
2.100000,0.010219,-0.000967
2.110000,0.011713,0.000508
2.120000,0.009002,0.000642
2.130000,0.009514,-0.000277
2.140000,0.010287,0.000454
2.150000,0.008671,-0.000229
2.160000,0.009276,0.002555
2.170000,0.009001,0.000120
2.180000,0.008458,-0.000920
2.190000,0.012824,0.001316
2.200000,0.008440,-0.000517
2.210000,0.009646,-0.000249
2.220000,0.008584,-0.000738
2.230000,0.008821,0.003019
2.240000,0.010891,0.000465
2.250000,0.009587,0.000954
2.260000,0.010651,0.003484
2.270000,0.007656,0.001483
2.280000,0.008854,0.001426
2.290000,0.010690,0.001994
2.300000,0.010060,0.001997
2.310000,0.012173,0.001370
2.320000,0.009430,0.002614
2.330000,0.008933,-0.000005
2.340000,0.010334,0.001180
2.350000,0.008382,-0.000007
2.360000,0.010290,0.000799
2.370000,0.010275,0.000490
2.380000,0.010438,0.001155
2.390000,0.009971,0.002391
2.400000,0.010244,0.001311
2.410000,0.008484,0.001210
2.420000,0.009577,0.002382
2.430000,0.009091,0.004248
2.440000,0.010408,0.001156
2.450000,0.009128,0.000467
2.460000,0.010286,0.002481
2.470000,0.010435,0.000282
2.480000,0.011180,0.001946
2.490000,0.008956,0.002269
2.500000,0.010155,0.001693
2.510000,0.009212,0.000954
2.520000,0.008258,-0.000294
2.530000,0.009094,0.002480
2.540000,0.008783,0.001267
2.550000,0.010702,0.002863
2.560000,0.010201,0.003361
2.570000,0.009178,0.000181
2.580000,0.008883,0.002453
2.590000,0.009995,0.001845
2.600000,0.011333,-0.000225
2.610000,0.009155,0.001111
2.620000,0.007842,0.002330
2.630000,0.009396,0.002732
2.640000,0.011105,0.001502
2.650000,0.010333,0.002660
2.660000,0.008636,0.003512
2.670000,0.010205,0.003817
2.680000,0.009911,0.002646
2.690000,0.010350,0.002502
2.700000,0.008898,0.003401
2.710000,0.007576,0.001607
2.720000,0.009053,0.003102
2.730000,0.010044,0.003658
2.740000,0.009690,0.003871
2.750000,0.009165,0.002747
2.760000,0.011259,0.003713
2.770000,0.009674,0.002369
2.780000,0.008686,0.001343
2.790000,0.009985,0.001399
2.800000,0.009228,0.003885
2.810000,0.009107,0.002744
2.820000,0.010531,0.003213
2.830000,0.010192,0.004721
2.840000,0.009372,0.003921
2.850000,0.009957,0.001905
2.860000,0.008726,0.003175
2.870000,0.009465,0.004070
2.880000,0.007771,0.005140
2.890000,0.009310,0.002486
2.900000,0.010000,0.003060
2.910000,0.010398,0.003786
2.920000,0.010000,0.001869
2.930000,0.009671,0.004288
2.940000,0.008405,0.003276
2.950000,0.008911,0.003320
2.960000,0.009188,0.003904
2.970000,0.009163,0.004666
2.980000,0.009909,0.002659
2.990000,0.007688,0.006048
3.000000,0.010077,0.002739
3.010000,0.010879,0.003199
3.020000,0.010561,0.003849
3.030000,0.010813,0.002431
3.040000,0.010273,0.002352
3.050000,0.009154,0.005111
3.060000,0.010807,0.002942
3.070000,0.008329,0.004548
3.080000,0.008898,0.004569
3.090000,0.009739,0.003424
3.100000,0.010126,0.004545
3.110000,0.009441,0.003123
3.120000,0.010723,0.004359
3.130000,0.009283,0.003476
3.140000,0.009775,0.005283
3.150000,0.006733,0.005065
3.160000,0.010593,0.004310
3.170000,0.008162,0.003841
3.180000,0.007082,0.006314
3.190000,0.007699,0.005132
3.200000,0.008295,0.004100
3.210000,0.010413,0.004792
3.220000,0.006959,0.005184
3.230000,0.007562,0.003120
3.240000,0.009524,0.003946
3.250000,0.010628,0.005389
3.260000,0.007192,0.003301
3.270000,0.011002,0.006094
3.280000,0.009001,0.006067
3.290000,0.009417,0.002560
3.300000,0.009689,0.004499
3.310000,0.008082,0.005962
3.320000,0.007985,0.005844
3.330000,0.007969,0.006345
3.340000,0.010046,0.005834
3.350000,0.008417,0.005216
3.360000,0.009532,0.005815
3.370000,0.008214,0.006431
3.380000,0.008427,0.004602
3.390000,0.008367,0.005925
3.400000,0.009832,0.004997
3.410000,0.007787,0.004505
3.420000,0.008255,0.005339
3.430000,0.010685,0.005057
3.440000,0.007420,0.007385
3.450000,0.007320,0.004078
3.460000,0.007045,0.006347
3.470000,0.008523,0.004830
3.480000,0.008148,0.005816
3.490000,0.009048,0.004111
3.500000,0.008216,0.006251
3.510000,0.007891,0.005516
3.520000,0.008835,0.004612
3.530000,0.008647,0.006507
3.540000,0.007384,0.006042
3.550000,0.008674,0.005902
3.560000,0.010005,0.006507
3.570000,0.008900,0.004895
3.580000,0.010653,0.003202
3.590000,0.007511,0.006191
3.600000,0.006696,0.007276
3.610000,0.006258,0.005829
3.620000,0.006829,0.004792
3.630000,0.007974,0.007493
3.640000,0.006432,0.005336
3.650000,0.006851,0.006818
3.660000,0.008830,0.006461
3.670000,0.007459,0.007010
3.680000,0.009746,0.006436
3.690000,0.008224,0.006295
3.700000,0.007891,0.005199
3.710000,0.006575,0.005663
3.720000,0.009311,0.007246
3.730000,0.007687,0.006319
3.740000,0.007081,0.008561
3.750000,0.008028,0.005990
3.760000,0.008705,0.005300
3.770000,0.006437,0.006792
3.780000,0.007609,0.006201
3.790000,0.007753,0.007418
3.800000,0.008997,0.008498
3.810000,0.007501,0.005911
3.820000,0.007215,0.007404
3.830000,0.006926,0.006108
3.840000,0.006085,0.006624
3.850000,0.007378,0.005134
3.860000,0.007514,0.007991
3.870000,0.007090,0.006278
3.880000,0.007511,0.007876
3.890000,0.006294,0.007382
3.900000,0.008450,0.005069
3.910000,0.006574,0.007127
3.920000,0.007988,0.007696
3.930000,0.007011,0.007884
3.940000,0.006133,0.007242
3.950000,0.006179,0.005144
3.960000,0.005275,0.008595
3.970000,0.006260,0.007371
3.980000,0.008381,0.007456
3.990000,0.008888,0.005936
4.000000,0.005544,0.006031
4.010000,0.006861,0.008342
4.020000,0.007112,0.006219
4.030000,0.006854,0.007991
4.040000,0.007025,0.007995
4.050000,0.006069,0.007163
4.060000,0.005314,0.006163
4.070000,0.005924,0.007546
4.080000,0.006927,0.009046
4.090000,0.008619,0.007465
4.100000,0.007033,0.008168
4.110000,0.005976,0.007725
4.120000,0.008974,0.007495
4.130000,0.008958,0.007460
4.140000,0.006147,0.007622
4.150000,0.006583,0.008191
4.160000,0.007104,0.007586
4.170000,0.006509,0.008207
4.180000,0.007426,0.008849
4.190000,0.008211,0.007663
4.200000,0.007317,0.005784
4.210000,0.008839,0.007739
4.220000,0.006841,0.005398
4.230000,0.006316,0.007852
4.240000,0.006226,0.007148
4.250000,0.006774,0.007934
4.260000,0.007075,0.010034
4.270000,0.007425,0.005792
4.280000,0.006306,0.007528
4.290000,0.009092,0.006544
4.300000,0.007320,0.006781
4.310000,0.004530,0.008692
4.320000,0.005462,0.005545
4.330000,0.006892,0.007032
4.340000,0.007720,0.006975
4.350000,0.010826,0.007885
4.360000,0.006939,0.006797
4.370000,0.006805,0.005348
4.380000,0.005530,0.006326
4.390000,0.006295,0.007976
4.400000,0.008317,0.007903
4.410000,0.005913,0.006430
4.420000,0.006799,0.005291
4.430000,0.007396,0.007160
4.440000,0.008645,0.008423
4.450000,0.005308,0.007152
4.460000,0.004792,0.007918
4.470000,0.006645,0.007408
4.480000,0.006830,0.006058
4.490000,0.006577,0.007378
4.500000,0.006070,0.006048
4.510000,0.005487,0.007073
4.520000,0.006757,0.008269
4.530000,0.006096,0.006671
4.540000,0.005953,0.005759
4.550000,0.005423,0.008569
4.560000,0.006924,0.007005
4.570000,0.006598,0.007560
4.580000,0.004695,0.008742
4.590000,0.006813,0.007082
4.600000,0.006735,0.006886
4.610000,0.006663,0.005653
4.620000,0.006940,0.007098
4.630000,0.007631,0.008592
4.640000,0.004785,0.007227
4.650000,0.007506,0.006490
4.660000,0.007765,0.005893
4.670000,0.006221,0.006445
4.680000,0.007291,0.006987
4.690000,0.007322,0.007303
4.700000,0.007846,0.006310
4.710000,0.006359,0.007780
4.720000,0.006259,0.009058
4.730000,0.007277,0.008478
4.740000,0.007898,0.007768
4.750000,0.006917,0.006268
4.760000,0.006912,0.008018
4.770000,0.006801,0.007673
4.780000,0.007489,0.008439
4.790000,0.006934,0.007357
4.800000,0.008595,0.005952
4.810000,0.007772,0.008562
4.820000,0.007207,0.006057
4.830000,0.007114,0.008107
4.840000,0.008906,0.008274
4.850000,0.006275,0.005651
4.860000,0.006254,0.007656
4.870000,0.007757,0.006308
4.880000,0.006752,0.007816
4.890000,0.009169,0.006749
4.900000,0.008299,0.007869
4.910000,0.007906,0.007228
4.920000,0.006416,0.007739
4.930000,0.007949,0.006822
4.940000,0.006207,0.008847
4.950000,0.005537,0.009170
4.960000,0.008561,0.006497
4.970000,0.006571,0.007633
4.980000,0.007898,0.008036
4.990000,0.006009,0.008984
5.000000,0.007091,0.006854
5.010000,0.006218,0.006780
5.020000,0.008312,0.006012
5.030000,0.007514,0.007458
5.040000,0.009754,0.007141
5.050000,0.006093,0.008767
5.060000,0.008404,0.004903
5.070000,0.007824,0.007889
5.080000,0.007002,0.006552
5.090000,0.004649,0.006611
5.100000,0.007549,0.007581
5.110000,0.004535,0.006673
5.120000,0.008738,0.008325
5.130000,0.007128,0.005561
5.140000,0.009510,0.007061
5.150000,0.007680,0.007484
5.160000,0.006389,0.007689
5.170000,0.006155,0.004462
5.180000,0.008002,0.009142
5.190000,0.008064,0.008001
5.200000,0.006207,0.007991
5.210000,0.008469,0.004854
5.220000,0.008067,0.005606
5.230000,0.006928,0.006716
5.240000,0.007772,0.007514
5.250000,0.006325,0.007291
5.260000,0.007330,0.007408
5.270000,0.006900,0.006753
5.280000,0.006974,0.008076
5.290000,0.006371,0.006442
5.300000,0.008408,0.005172
5.310000,0.006849,0.007432
5.320000,0.007770,0.007487
5.330000,0.008047,0.007247
5.340000,0.008314,0.008006
5.350000,0.008058,0.006320
5.360000,0.007750,0.006515
5.370000,0.006329,0.006620
5.380000,0.007070,0.006305
5.390000,0.005377,0.008234
5.400000,0.005456,0.007865
5.410000,0.005956,0.009972
5.420000,0.006393,0.008827
5.430000,0.006938,0.006541
5.440000,0.006506,0.006878
5.450000,0.008801,0.006436
5.460000,0.006225,0.006650
5.470000,0.007776,0.007468
5.480000,0.008178,0.007861
5.490000,0.006923,0.006713
5.500000,0.006559,0.007405
5.510000,0.006637,0.006254
5.520000,0.006000,0.005993
5.530000,0.007261,0.007370
5.540000,0.007016,0.005263
5.550000,0.006610,0.006009
5.560000,0.007965,0.008269
5.570000,0.008064,0.008402
5.580000,0.006515,0.007489
5.590000,0.007994,0.005144
5.600000,0.007212,0.007518
5.610000,0.007319,0.006306
5.620000,0.006575,0.006711
5.630000,0.007352,0.005315
5.640000,0.006080,0.006768
5.650000,0.007717,0.008152
5.660000,0.006176,0.006316
5.670000,0.007452,0.005683
5.680000,0.006967,0.007028
5.690000,0.006473,0.006948
5.700000,0.007405,0.005829
5.710000,0.008278,0.006631
5.720000,0.005283,0.007259
5.730000,0.005924,0.006828
5.740000,0.006802,0.006616
5.750000,0.009463,0.007661
5.760000,0.005799,0.005304
5.770000,0.006872,0.008083
5.780000,0.006446,0.007199
5.790000,0.007403,0.005978
5.800000,0.007490,0.006969
5.810000,0.006480,0.007855
5.820000,0.007590,0.008641
5.830000,0.008415,0.007594
5.840000,0.004698,0.007009
5.850000,0.005992,0.005955
5.860000,0.007820,0.008307
5.870000,0.006792,0.007159
5.880000,0.006369,0.007741
5.890000,0.008712,0.007494
5.900000,0.007354,0.006498
5.910000,0.006149,0.007639
5.920000,0.006616,0.008259
5.930000,0.005248,0.007723
5.940000,0.006488,0.005898
5.950000,0.006109,0.008515
5.960000,0.008971,0.007472
5.970000,0.005196,0.005176
5.980000,0.006198,0.006724
5.990000,0.005782,0.008134
6.000000,0.007096,0.007603
6.010000,0.005879,0.008063
6.020000,0.005817,0.008558
6.030000,0.007121,0.008347
6.040000,0.004607,0.006613
6.050000,0.004888,0.007742
6.060000,0.005891,0.008246
6.070000,0.007916,0.006217
6.080000,0.006899,0.006566
6.090000,0.004735,0.008493
6.100000,0.006188,0.007100
6.110000,0.008336,0.005955
6.120000,0.006997,0.006828
6.130000,0.007854,0.007659
6.140000,0.006843,0.007615
6.150000,0.007479,0.006120
6.160000,0.005179,0.005837
6.170000,0.004442,0.007261
6.180000,0.006395,0.005169
6.190000,0.006369,0.006694
6.200000,0.005486,0.007964
6.210000,0.006014,0.004487
6.220000,0.004451,0.006172
6.230000,0.006344,0.004761
6.240000,0.003873,0.005431
6.250000,0.005341,0.005937
6.260000,0.004666,0.005375
6.270000,0.005939,0.008044
6.280000,0.005717,0.003701
6.290000,0.006092,0.007229
6.300000,0.004708,0.005624
6.310000,0.007770,0.004397
6.320000,0.005290,0.006426
6.330000,0.007050,0.006460
6.340000,0.005736,0.005463
6.350000,0.005625,0.004784
6.360000,0.006009,0.005187
6.370000,0.004497,0.005790
6.380000,0.006151,0.004707
6.390000,0.005872,0.003916
6.400000,0.004846,0.007093
6.410000,0.006807,0.007423
6.420000,0.004533,0.006782
6.430000,0.004720,0.004396
6.440000,0.005867,0.005197
6.450000,0.006743,0.004700
6.460000,0.006761,0.004563
6.470000,0.005891,0.005961
6.480000,0.005337,0.006161
6.490000,0.004181,0.005901
6.500000,0.004566,0.006437
6.510000,0.004504,0.007647
6.520000,0.003254,0.006352
6.530000,0.004385,0.004390
6.540000,0.004334,0.004613
6.550000,0.004506,0.006357
6.560000,0.004254,0.005289
6.570000,0.004834,0.006023
6.580000,0.004164,0.004707
6.590000,0.005760,0.005530
6.600000,0.005618,0.007288
6.610000,0.004461,0.005835
6.620000,0.005038,0.004103
6.630000,0.003226,0.003298
6.640000,0.004403,0.003800
6.650000,0.003650,0.004608
6.660000,0.004259,0.007405
6.670000,0.005963,0.005353
6.680000,0.005592,0.004577
6.690000,0.006331,0.003228
6.700000,0.003755,0.005070
6.710000,0.005725,0.005789
6.720000,0.005505,0.005549
6.730000,0.003676,0.004612
6.740000,0.004636,0.005902
6.750000,0.003838,0.005196
6.760000,0.004533,0.002745
6.770000,0.002388,0.005254
6.780000,0.003448,0.003705
6.790000,0.003639,0.003935
6.800000,0.003824,0.002148
6.810000,0.006541,0.005060
6.820000,0.003431,0.005210
6.830000,0.004867,0.005956
6.840000,0.003546,0.004581
6.850000,0.005668,0.004543
6.860000,0.003464,0.005117
6.870000,0.003565,0.003604
6.880000,0.003824,0.004550
6.890000,0.003649,0.005230
6.900000,0.003828,0.003116
6.910000,0.003504,0.003416
6.920000,0.002851,0.004757
6.930000,0.002647,0.003361
6.940000,0.003678,0.005284
6.950000,0.004076,0.003916
6.960000,0.002853,0.002869
6.970000,0.003735,0.003744
6.980000,0.004202,0.005785
6.990000,0.003176,0.003518
7.000000,0.004739,0.002007
7.010000,0.002782,0.003854
7.020000,0.003775,0.002362
7.030000,0.002059,0.004475
7.040000,0.004097,0.004028
7.050000,0.003259,0.004467
7.060000,0.004043,0.003469
7.070000,0.003828,0.004183
7.080000,0.002423,0.002614
7.090000,0.004621,0.001465
7.100000,0.003617,0.002346
7.110000,0.002765,0.002101
7.120000,0.003947,0.003447
7.130000,0.003672,0.005335
7.140000,0.003525,0.002434
7.150000,0.002557,0.002860
7.160000,0.002377,0.001569
7.170000,0.003314,0.002164
7.180000,0.001560,0.003444
7.190000,0.002106,0.001284
7.200000,0.002615,0.003115
7.210000,0.004817,0.002613
7.220000,0.005253,0.001991
7.230000,0.002372,0.000867
7.240000,0.001804,0.001572
7.250000,0.000775,0.002016
7.260000,0.002092,0.001702
7.270000,0.003457,0.001748
7.280000,0.003028,0.002919
7.290000,0.002816,0.003277
7.300000,0.003361,0.002193
7.310000,0.001240,0.002666
7.320000,0.002151,0.003436
7.330000,0.001064,0.002884
7.340000,0.003253,0.000750
7.350000,0.002487,0.001992
7.360000,0.002503,0.001058
7.370000,0.001801,0.002089
7.380000,0.001079,0.002213
7.390000,0.001882,0.002478
7.400000,0.000743,0.001503
7.410000,0.001540,0.003832
7.420000,0.001566,0.001738
7.430000,0.002134,0.002510
7.440000,0.003182,0.001344
7.450000,0.002678,0.003513
7.460000,0.001979,0.000756
7.470000,0.000958,0.000764
7.480000,0.000770,0.002051
7.490000,0.000905,0.002244
7.500000,0.000864,0.003754
7.510000,0.000789,0.001891
7.520000,0.001245,0.003047
7.530000,0.000726,0.000447
7.540000,0.001075,0.001019
7.550000,0.002648,0.001531
7.560000,0.000410,0.001814
7.570000,0.000990,0.002446
7.580000,-0.000774,0.000574
7.590000,0.001167,-0.000367
7.600000,0.001281,0.002828
7.610000,0.002305,0.000729
7.620000,0.002799,0.000880
7.630000,0.001165,0.001817
7.640000,0.001606,0.002616
7.650000,-0.001892,0.001946
7.660000,0.000959,0.000829
7.670000,0.002537,0.000761
7.680000,-0.000786,0.001635
7.690000,0.001245,-0.000238
7.700000,0.000949,0.002570
7.710000,0.001646,-0.000270
7.720000,0.000603,-0.000052
7.730000,0.002076,0.003108
7.740000,-0.000227,0.001189
7.750000,0.000512,0.001192
7.760000,0.000064,0.002092
7.770000,0.000688,-0.000300
7.780000,0.001810,0.001508
7.790000,0.001441,0.000094
7.800000,0.001051,0.002182
7.810000,0.001835,0.002323
7.820000,-0.001891,0.000077
7.830000,0.000504,0.000786
7.840000,0.000843,-0.001047
7.850000,0.000969,-0.001295
7.860000,-0.000834,0.000644
7.870000,0.000947,-0.000333
7.880000,-0.001015,0.000439
7.890000,-0.000070,0.000752
7.900000,0.001357,-0.000354
7.910000,0.001519,-0.000414
7.920000,0.000786,0.000752
7.930000,0.000609,0.000877
7.940000,0.000078,-0.001514
7.950000,-0.000504,-0.000624
7.960000,-0.000188,0.001229
7.970000,0.000109,0.001944
7.980000,0.001177,0.000075
7.990000,-0.000104,-0.000690
8.000000,0.001498,-0.000172
